22025-02-22 13:28:00,594 - Rollouts completed: 27415
2025-02-22 13:28:00,594 - Next Action: 3
2025-02-22 13:28:30,772 - Rollouts completed: 28480
2025-02-22 13:28:30,772 - Next Action: 3
2025-02-22 13:32:26,360 - Rollouts completed: 29632
2025-02-22 13:32:26,360 - Next Action: 3
2025-02-22 13:34:21,609 - Rollouts completed: 39712
2025-02-22 13:34:21,610 - Next Action: 3
2025-02-22 13:35:25,782 - Rollouts completed: 27696
2025-02-22 13:35:25,782 - Next Action: 3
2025-02-22 13:36:19,859 - Rollouts completed: 27456
2025-02-22 13:36:19,859 - Next Action: 3
2025-02-22 13:39:34,402 - Rollouts completed: 28704
2025-02-22 13:39:34,403 - Next Action: 3
2025-02-22 13:41:33,260 - Rollouts completed: 29728
2025-02-22 13:41:33,261 - Next Action: 3
2025-02-22 13:41:53,262 - Rollouts completed: 41152
2025-02-22 13:41:53,262 - Next Action: 3
2025-02-22 13:43:15,627 - Rollouts completed: 25661
2025-02-22 13:43:15,627 - Next Action: 3
2025-02-22 13:43:29,904 - Rollouts completed: 35939
2025-02-22 13:43:29,904 - Next Action: 1
2025-02-22 13:43:46,020 - Rollouts completed: 30656
2025-02-22 13:43:46,020 - Next Action: 1
2025-02-22 13:44:00,908 - Rollouts completed: 13217
2025-02-22 13:44:00,908 - Next Action: 3
2025-02-22 13:45:27,256 - Rollouts completed: 51628
2025-02-22 13:45:27,257 - Next Action: 3
2025-02-22 13:45:32,272 - Rollouts completed: 77744
2025-02-22 13:45:32,272 - Next Action: 3
2025-02-22 13:45:47,474 - Rollouts completed: 30592
2025-02-22 13:45:47,475 - Next Action: 3
2025-02-22 13:45:55,082 - Rollouts completed: 34517
2025-02-22 13:45:55,082 - Next Action: 1
2025-02-22 13:46:01,944 - Rollouts completed: 27104
2025-02-22 13:46:01,944 - Next Action: 1
2025-02-22 13:46:10,180 - Rollouts completed: 15588
2025-02-22 13:46:10,180 - Next Action: 3
2025-02-22 13:46:16,960 - Rollouts completed: 21952
2025-02-22 13:46:16,960 - Next Action: 4
2025-02-22 13:46:34,668 - Rollouts completed: 40192
2025-02-22 13:46:34,668 - Next Action: 4
2025-02-22 13:46:49,908 - Rollouts completed: 41408
2025-02-22 13:46:49,908 - Next Action: 4
2025-02-22 13:47:07,431 - Rollouts completed: 39800
2025-02-22 13:47:07,431 - Next Action: 4
2025-02-22 13:47:29,071 - Rollouts completed: 38624
2025-02-22 13:47:29,071 - Next Action: 2
